,segment_id
11440,864691132756006772
11463,864691132631258197
11466,864691132646457511
11470,864691132615633729
11471,864691132788017654
11476,864691132785351976
11491,864691132847234515
11495,864691132904992750
11500,864691132804633190
11511,864691132608668795
11518,864691132634162673
11541,864691132923116329
11550,864691132683846983
11561,864691132807880737
11575,864691132797079573
11577,864691132778009215
11580,864691132602054829
11601,864691132777557103
11608,864691132604946349
11616,864691132766390309
11630,864691132938807217
11632,864691132789734376
11635,864691132664029016
11645,864691132990668277
11649,864691132940560094
11665,864691132785333329
11666,864691132580710674
11684,864691132743892559
11699,864691132653873660
11708,864691132611368827
11712,864691132808116873
11720,864691132835091490
11723,864691132787802314
11726,864691132752656500
11732,864691132825608129
11747,864691132781019122
11763,864691132762649986
11765,864691132770253949
11771,864691132782893726
11773,864691132978925904
11782,864691133234804816
11784,864691132958954013
11802,864691132997124277
11803,864691132578832404
11808,864691132892808406
11834,864691132634138097
11835,864691132785381713
11843,864691133312229968
11852,864691132679139641
11886,864691132678787933
11895,864691132782609036
11905,864691132543930769
11912,864691132682902575
11915,864691132849754805
11918,864691132689257976
11924,864691132604779033
11940,864691132658064759
11953,864691132709663233
11970,864691132808046217
11985,864691132782570380
12002,864691132831622052
12012,864691132661088580
12013,864691132854841670
12023,864691132825543361
12025,864691132698508619
12026,864691132642223742
12034,864691132668250906
12046,864691132984508768
12050,864691132546017346
12058,864691132779112970
12091,864691132806428961
12096,864691132668284442
12102,864691132778661503
12108,864691132827060338
12128,864691132824927920
12133,864691132955351761
12139,864691132575281428
12146,864691132805419010
12147,864691132686733064
12149,864691132727471534
12161,864691132692653801
12170,864691132585888994
12179,864691132810015903
12187,864691132733916976
12191,864691132668467880
12197,864691132615656769
12199,864691132717300394
12214,864691132831628452
12228,864691132817155088
12231,864691132641148214
12239,864691132682421877
12240,864691133310611792
12262,864691132781744138
12263,864691132606451523
12272,864691132838498948
12282,864691132680779720
12288,864691132783699496
12293,864691132714354253
12303,864691132728565307
12307,864691132663209284
12310,864691132722493041
12311,864691132769651475
12319,864691132726604039
12324,864691132668207528
12346,864691132919511777
12348,864691132851316483
12349,864691132733687979
12352,864691132689220344
12355,864691132596377919
12360,864691132766152485
12362,864691132824957872
12363,864691132788301288
12365,864691132955353297
12368,864691132777960575
12373,864691132608748155
12384,864691132752447666
12391,864691132681743407
12395,864691132637094670
12397,864691132705147186
12398,864691132809094945
12404,864691132634173169
12410,864691132698498379
12413,864691132589863421
12416,864691132702100724
12419,864691132939247070
12422,864691132842515076
12435,864691132657950889
12443,864691132762073438
12444,864691132677081181
12453,864691132867964392
12458,864691132668176808
12462,864691132589919741
12465,864691132755548850
12466,864691132604705561
12471,864691132752596084
12475,864691132680806112
12481,864691132742238440
12483,864691132683143077
12494,864691132745478531
12499,864691132829848732
12502,864691132952521802
12506,864691132655625846
