,segment_id
187,864691132555048457
188,864691132555050505
189,864691132555053065
190,864691132555053321
191,864691132555056137
192,864691132555060233
193,864691132555061513
194,864691132555063561
195,864691132555070729
196,864691132555073033
197,864691132555074313
198,864691132555077641
199,864691132555078921
200,864691132555079177
201,864691132555081481
202,864691132555082761
203,864691132555085577
204,864691132555086345
205,864691132555086857
206,864691132555090441
207,864691132555092489
208,864691132555093769
209,864691132555094025
210,864691132555095305
211,864691132555102729
212,864691132555104009
213,864691132555109897
214,864691132555206313
215,864691132555229193
216,864691132555262985
217,864691132555264521
218,864691132555266057
219,864691132555268361
220,864691132555269385
221,864691132555274761
222,864691132555279369
223,864691132555280393
224,864691132555280905
225,864691132555281161
226,864691132555283209
227,864691132555286281
228,864691132555287305
229,864691132555291913
230,864691132555293705
231,864691132555294473
232,864691132555294985
233,864691132555327241
234,864691132555327497
235,864691132555329033
236,864691132555333897
237,864691132555334665
238,864691132555335945
239,864691132555337481
240,864691132555338761
241,864691132555339017
242,864691132555339273
243,864691132555340041
244,864691132555340297
245,864691132555341065
246,864691132555341577
247,864691132555342345
248,864691132555342601
249,864691132555342857
250,864691132555343113
251,864691132555393033
252,864691132555559178
253,864691132555854089
254,864691132556158473
255,864691132556947209
256,864691132557020178
257,864691132557021970
258,864691132557103369
259,864691132557211657
260,864691132557480457
261,864691132557544201
262,864691132557547785
263,864691132557935881
264,864691132558136585
265,864691132558211593
266,864691132558348297
267,864691132558387977
268,864691132558519049
269,864691132558673929
270,864691132558726665
271,864691132559675477
272,864691132560000484
273,864691132560000740
274,864691132560008932
275,864691132560010980
276,864691132560013284
277,864691132560015332
278,864691132560017636
279,864691132560025060
280,864691132560026084
281,864691132560028900
282,864691132560030436
283,864691132560033252
284,864691132560033508
285,864691132560034020
286,864691132560041700
287,864691132560042724
288,864691132560047844
289,864691132560048612
290,864691132560053732
291,864691132560054756
292,864691132560056548
293,864691132560059108
294,864691132560059620
295,864691132560060388
296,864691132560068580
297,864691132560071396
298,864691132560071908
299,864691132560072932
300,864691132560077540
301,864691132560079588
302,864691132560081636
303,864691132560082916
304,864691132560084708
305,864691132560086756
306,864691132560087780
307,864691132560093156
308,864691132560094180
309,864691132560094948
310,864691132560250340
311,864691132560255204
312,864691132560255716
313,864691132560295652
314,864691132560297188
315,864691132560303076
316,864691132560308452
317,864691132560310500
318,864691132560312036
319,864691132560671716
320,864691132561338596
321,864691132561393870
322,864691132561471716
323,864691132561486030
324,864691132561491406
325,864691132561493198
326,864691132561500110
327,864691132561501134
328,864691132561501902
329,864691132561506766
330,864691132561507278
331,864691132561508046
332,864691132561508302
333,864691132561510606
334,864691132561511118
335,864691132561511886
336,864691132561513166
337,864691132561513934
338,864691132561517262
339,864691132561517518
340,864691132561525454
341,864691132561526222
342,864691132561526734
343,864691132561527758
344,864691132561529550
345,864691132561533902
346,864691132561542606
347,864691132561546958
348,864691132561548494
349,864691132561552334
350,864691132561553614
351,864691132561556942
352,864691132561557454
353,864691132561566158
354,864691132561567182
355,864691132561567694
356,864691132561571022
357,864691132561575630
358,864691132561578190
359,864691132561578446
360,864691132561584590
361,864691132561585102
362,864691132561719012
363,864691132561774286
364,864691132561775822
365,864691132561782478
366,864691132561788110
367,864691132561788622
368,864691132561791182
369,864691132561791438
370,864691132561843662
371,864691132561846734
372,864691132561846990
373,864691132561847246
374,864691132561847502
375,864691132562264526
376,864691132562524388
377,864691132562545358
378,864691132562607076
379,864691132562768868
380,864691132562805220
381,864691132562938596
382,864691132562953444
383,864691132563116750
384,864691132563138276
385,864691132563221454
386,864691132563456462
387,864691132563530212
388,864691132563532750
389,864691132563569380
390,864691132563570916
391,864691132563628516
392,864691132563645412
393,864691132563651556
394,864691132563656932
395,864691132563686372
396,864691132563698660
397,864691132563725796
398,864691132563755492
399,864691132563767246
400,864691132563882468
401,864691132563954894
402,864691132563957220
403,864691132564002276
404,864691132564066020
405,864691132564078030
406,864691132564078820
407,864691132564110798
408,864691132564137444
409,864691132564137678
410,864691132564206052
411,864691132564257742
412,864691132564515022
413,864691132564729806
414,864691132564750542
415,864691132564859086
416,864691132564938446
417,864691132565015502
418,864691132565255374
419,864691132567798034
420,864691132567858742
421,864691132568808210
422,864691132569404726
423,864691132569510428
424,864691132569513500
425,864691132569519132
426,864691132569519900
427,864691132569521436
428,864691132569523996
429,864691132569525020
430,864691132569526300
431,864691132569529884
432,864691132569530140
433,864691132569532956
434,864691132569533468
435,864691132569534492
436,864691132569536796
437,864691132569537308
438,864691132569538076
439,864691132569539612
440,864691132569540380
441,864691132569541148
442,864691132569543196
443,864691132569544220
444,864691132569546780
445,864691132569547292
446,864691132569547804
447,864691132569554460
448,864691132569555484
449,864691132569556252
450,864691132569556508
451,864691132569563164
452,864691132569565212
453,864691132569565724
454,864691132569570076
455,864691132569572892
456,864691132569573660
457,864691132569574684
458,864691132569575196
459,864691132569576476
460,864691132569583132
461,864691132569588508
462,864691132569594396
463,864691132569595164
464,864691132569595932
465,864691132569603356
466,864691132569604636
467,864691132569605916
468,864691132569613340
469,864691132569622044
470,864691132569637051
471,864691132569772316
472,864691132569773084
473,864691132569773340
474,864691132569774876
475,864691132569775132
